id,title,slug,authors,categories,description,rating,rating_count,cover_path,year,isbn
1,The Great Gatsby,the-great-gatsby,F. Scott Fitzgerald,Fiction|Classic,"A story of wealth, love, and the American Dream set in the Jazz Age. Nick Carraway narrates the mysterious life of Jay Gatsby, a self-made millionaire obsessed with his lost love Daisy Buchanan.",4.2,4823456,covers/gatsby.jpg,1925,9780743273565
2,To Kill a Mockingbird,to-kill-a-mockingbird,Harper Lee,Fiction|Drama|Classic,"A gripping tale of racial injustice and childhood innocence in the American South. Lawyer Atticus Finch defends a Black man falsely accused of a crime in 1930s Alabama, seen through the eyes of his young daughter Scout.",4.5,5234789,covers/mockingbird.jpg,1960,9780061935466
3,1984,1984,George Orwell,Science Fiction|Dystopian|Classic,"A chilling dystopian novel about a totalitarian society under the watchful eye of Big Brother. Winston Smith works for the Party rewriting history, but secretly dreams of rebellion against the oppressive regime.",4.6,4987234,covers/1984.jpg,1949,9780451524935
4,Pride and Prejudice,pride-and-prejudice,Jane Austen,Romance|Classic|Fiction,"A witty romantic novel about manners, marriage, and social class in early 19th-century England. Elizabeth Bennet navigates the social expectations of her time while falling for the proud Mr. Darcy.",4.3,3456789,covers/pride.jpg,1813,9780141439518
5,The Catcher in the Rye,the-catcher-in-the-rye,J.D. Salinger,Fiction|Coming-of-age,"A coming-of-age story following rebellious teenager Holden Caulfield as he wanders New York City after being expelled from prep school, wrestling with identity, alienation, and the phoniness of the adult world.",3.8,2987654,covers/catcher.jpg,1951,9780316769174
6,Brave New World,brave-new-world,Aldous Huxley,Science Fiction|Dystopian|Classic,"A dystopian novel set in a futuristic World State where citizens are engineered and conditioned into a rigid caste system. Bernard Marx begins to question the pleasure-driven, consumer society he inhabits.",4.1,2345678,covers/brave.jpg,1932,9780060850524
7,The Lord of the Rings,the-lord-of-the-rings,J.R.R. Tolkien,Fantasy|Adventure|Epic,"An epic high-fantasy trilogy following hobbit Frodo Baggins and his companions on a quest to destroy the One Ring and defeat the Dark Lord Sauron. A foundational work of modern fantasy literature.",4.7,6789012,covers/lotr.jpg,1954,9780618640157
8,Harry Potter and the Sorcerer's Stone,harry-potter-1,J.K. Rowling,Fantasy|Young Adult|Adventure,"The first book in the beloved Harry Potter series. An orphaned boy discovers he is a wizard and enters the magical world of Hogwarts School of Witchcraft and Wizardry, where he makes friends and faces his destiny.",4.5,8901234,covers/hp1.jpg,1997,9780439708180
9,The Hitchhiker's Guide to the Galaxy,hitchhikers-guide,Douglas Adams,Science Fiction|Comedy|Adventure,"A comedic science-fiction novel following Arthur Dent, an ordinary Englishman who is whisked away from Earth moments before its demolition to make way for a hyperspace bypass. The universe turns out to be deeply weird and very funny.",4.4,3456789,covers/hitchhiker.jpg,1979,9780345391803
10,Fahrenheit 451,fahrenheit-451,Ray Bradbury,Science Fiction|Dystopian,"A dystopian novel about a future American society where books are outlawed and firemen burn any that are found. Fireman Guy Montag begins to question the book-burning culture he has always accepted.",4.2,2567890,covers/fahrenheit.jpg,1953,9781451673319
11,Animal Farm,animal-farm,George Orwell,Satire|Political Fiction|Classic,"A political allegory in which farm animals overthrow their human farmer, only to find their revolution betrayed by the pigs who take power. A biting satire of Stalinist Russia and totalitarianism in general.",4.0,3234567,covers/animal-farm.jpg,1945,9780451526342
12,The Alchemist,the-alchemist,Paulo Coelho,Fiction|Philosophy|Adventure,"A philosophical novel about Santiago, an Andalusian shepherd boy who travels from Spain to the Egyptian desert in search of treasure. His journey becomes a spiritual quest about following one's dreams and Personal Legend.",4.1,4567890,covers/alchemist.jpg,1988,9780062315007
